"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LXEES4-2JO7Z-YN3OT2","FTdpvQn-E1Rs44a5xSjGsz7cwvUEys","2024-01-02 12:43:46","deposit","","currency","stable_coin","USDC","spot / main",1000.00000000,0,1000.00008600
"LK26GD-N4VF2-7ZLNCK","TS72AMC-ZOB2C-HT7BDX","2024-01-02 13:01:06","spend","","currency","stable_coin","USDC","spot / main",-1000.00000000,0,0.00008600
"LXGPRD-4PSKC-O64MGH","TS72AMC-ZOB2C-HT7BDX","2024-01-02 13:01:06","receive","","currency","fiat","EUR","spot / main",912.9000,13.4900,899.4168
"LWYKXI-P33HO-NISOUR","FTag7DF-v7yTwQQJ4pooTaNllf5Pee","2024-01-02 13:02:08","withdrawal","","currency","fiat","EUR","spot / main",-898.4100,1.0000,0.0068
"LK6PUC-AHNJG-UWP2I3","FTST0Jh-9Y7hj2oMdcUpjCDVvaEG5h","2024-01-03 19:51:05","deposit","","currency","stable_coin","USDC","spot / main",2000.00000000,0,2000.00008600
"LN6PP3-N5ISK-D2PNBA","TS6X33P-S2SN2-RZ7ZME","2024-01-03 19:56:42","spend","","currency","stable_coin","USDC","spot / main",-2000.00000000,0,0.00008600
"LCXZVA-NUND2-HQBCXL","TS6X33P-S2SN2-RZ7ZME","2024-01-03 19:56:42","receive","","currency","fiat","EUR","spot / main",1833.4000,27.0900,1806.3168
"LW4P6H-76G2A-JMDBII","FTQUjjl-X0Qa9smcwboN6BVO4ryle1","2024-01-03 19:57:18","withdrawal","","currency","fiat","EUR","spot / main",-1805.3100,1.0000,0.0068
"LPG5VM-RM252-VEZTBK","STHREM3-IHW2F-ZEUDRH","2024-01-04 12:40:07","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0029247300,0,1.8918001400
"LEHWUZ-EAWTP-UCQWUQ","STQN5UE-3T2OG-IDWI5W","2024-01-11 14:41:28","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0029002700,0,1.8947004100
"LJKLKU-3UXPA-ZS4H5K","FTJq6DY-wqp83KCZuoWaH8cizMUpsY","2024-01-12 14:56:13","deposit","","currency","stable_coin","USDC","spot / main",5.00000000,0,5.00008600
"LSPXH7-NLHFX-XXDRTX","FTQwhlg-3C75b7sdqeGfeaKUN5ldy6","2024-01-12 14:56:13","deposit","","currency","stable_coin","USDC","spot / main",6995.00000000,0,7000.00008600
"L3AX7N-PTNC7-3TO34D","TSRJKOB-PVYKY-BHQEBR","2024-01-15 07:51:01","spend","","currency","stable_coin","USDC","spot / main",-7000.00000000,0,0.00008600
"LHMWN7-DQITZ-N3CO4P","TSRJKOB-PVYKY-BHQEBR","2024-01-15 07:51:01","receive","","currency","fiat","EUR","spot / main",6391.3100,94.4500,6296.8668
"L73PQM-4VOYW-UZL357","FTLuI0P-kJlmm5WC8vVGm0765cNIXj","2024-01-15 07:51:46","withdrawal","","currency","fiat","EUR","spot / main",-6295.8600,1.0000,0.0068
"LMAZQZ-BCW6H-EIILTK","STKONUJ-STU7Y-3OTGC4","2024-01-18 13:22:54","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0029046600,0,1.8976050700
"LRC3VJ-6HR3J-L745AK","STKOCGA-E4Q4T-3A4TL7","2024-01-25 07:16:10","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0027855100,0,1.9003905800
"LVW4KB-FTHLU-ZSHTJB","FTbpbD7-MWvdjE0m8RLhcMKwbfi78y","2024-01-29 08:45:05","deposit","","currency","stable_coin","USDC","spot / main",6000.00150000,0,6000.00158600
"LMTN36-XOWNE-VWROHB","TSJ2DDU-GHJAO-J2MNYU","2024-01-29 08:45:34","spend","","currency","stable_coin","USDC","spot / main",-6000.00150000,0,0.00008600
"LSWSGD-2SO2O-WX3LYT","TSJ2DDU-GHJAO-J2MNYU","2024-01-29 08:45:34","receive","","currency","fiat","EUR","spot / main",5537.4000,81.8300,5455.5768
"LA5K5G-3ZL2L-RT54TR","FTQn8zX-4PkhHwxPrPccOrMZ2pNxLV","2024-01-29 08:49:25","withdrawal","","currency","fiat","EUR","spot / main",-1999.0000,1.0000,3455.5768
"L66OUW-YK4RO-PWMGQP","FTJBRCa-g3vFBelIi3GsWtsCo2VEdS","2024-01-29 08:49:45","withdrawal","","currency","fiat","EUR","spot / main",-3454.5700,1.0000,0.0068
"L56UYX-ZKOZI-MJ3S2X","STHFIKN-NEEJZ-JFMJ7Z","2024-02-01 07:38:58","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0028553100,0,1.9032458900
"LVWED5-AGTC4-PUICWG","STIYYAU-5OCU6-XETYIM","2024-02-08 08:13:18","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0033447000,0.0006689400,1.9059216500
"LUUOYB-7DSE7-GPEGXF","ST4SHOC-S63WC-ZDWKI5","2024-02-15 08:07:17","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0034626200,0.0006925200,1.9086917500
"LZEFYQ-GOMNS-46JUAC","STLJGQ5-57LUG-BMEGAA","2024-02-22 08:42:00","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0034091200,0.0006818200,1.9114190500
"LW27DK-QBFYX-DQ5TUQ","FTJrhye-sxE0I44goPLVLqsfy80BUo","2024-02-26 11:04:11","deposit","","currency","stable_coin","USDC","spot / main",45428.83744900,0,45428.83753500
"LRLNKK-JUMLW-CTVEPW","FTUa27L-7Fp8GAiPzbKWfdUE9jE3VG","2024-02-26 11:04:11","deposit","","currency","stable_coin","USDC","spot / main",5.00000000,0,45433.83753500
"LNXTYQ-BD5OO-FXR2WB","TSJPGK6-2RXUH-3GB2X7","2024-02-26 12:13:52","spend","","currency","stable_coin","USDC","spot / main",-45433.83750000,0,0.00003500
"LPRRDA-TGE26-Z5A7T7","TSJPGK6-2RXUH-3GB2X7","2024-02-26 12:13:52","receive","","currency","fiat","EUR","spot / main",41858.1900,618.5900,41239.6068
"LODE2J-HIDJY-4PNUAB","FTBM6zz-vDdl1BeftRQ9yV2aSD8E8v","2024-02-26 12:14:35","withdrawal","","currency","fiat","EUR","spot / main",-41238.6000,1.0000,0.0068
"LJIF5D-COQTQ-6TU4DW","STB37NU-EEHUQ-SOHVAU","2024-02-29 07:26:58","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0034176500,0.0006835300,1.9141531700
"L2K3ZT-JRNRS-GL6SQG","FTCaUaF-lSnBhULdaCPFjVnwUqbjPB","2024-03-06 22:48:39","deposit","","currency","stable_coin","USDC","spot / main",6000.00120000,0,6000.00123500
"LTALIO-MP7VM-RIZLIZ","TSTFAGQ-XGZN4-WXEHER","2024-03-06 22:58:38","spend","","currency","stable_coin","USDC","spot / main",-6000.00110000,0,0.00013500
