date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2021-08-11T11:41:14+00:00,binance,,deposit,BTC,0.00043356,0,,,0,Binance Deposit
2021-08-11T11:53:06+00:00,binance,,deposit,BTC,0.15691157,0,,,0,Binance Deposit
2021-08-11T14:00:49+00:00,binance,,withdrawal,USDT,2265,0,,,0,Binance Withdraw
2021-08-11T14:27:12+00:00,binance,,deposit,BTC,0.15322921,0,,,0,Binance Deposit
2021-08-11T14:38:41+00:00,binance,,withdrawal,LUNA,5,0,,,0,Binance Withdraw
2021-08-12T06:56:41+00:00,binance,,withdrawal,LUNA,1E+1,0,,,0,Binance Withdraw
2021-08-12T07:00:52+00:00,binance,,withdrawal,LUNA,688.28601,0,,,0,Binance Withdraw
2021-08-22T16:17:07+00:00,binance,,deposit,AAVE,0.05100219,0,,,0,Binance Deposit
2021-08-22T16:25:08+00:00,binance,,deposit,AAVE,10.13908437,0,,,0,Binance Deposit
2021-08-22T16:42:41+00:00,binance,,withdrawal,LUNA,147.617235,0,,,0,Binance Withdraw
2021-08-26T21:01:06+00:00,binance,,deposit,LUNA,0.1,0,,,0,Binance Deposit
2021-08-26T21:03:07+00:00,binance,,deposit,LUNA,147.49,0,,,0,Binance Deposit
2021-08-27T12:23:42+00:00,binance,,withdrawal,SOL,0.1,0,,,0,Binance Withdraw
2021-08-27T12:29:42+00:00,binance,,withdrawal,SOL,51.0488,0,,,0,Binance Withdraw
2021-09-03T10:44:07+00:00,binance,,deposit,LUNA,98,0,,,0,Binance Deposit
2021-09-03T11:02:44+00:00,binance,,withdrawal,USDT,3266.128254,0,,,0,Binance Withdraw
2021-09-03T12:46:16+00:00,binance,,deposit,USDT,1E+1,0,,,0,Binance Deposit
2021-09-03T12:50:48+00:00,binance,,deposit,USDT,3072.036233,0,,,0,Binance Deposit
2021-09-03T12:57:41+00:00,binance,,withdrawal,FTM,1E+1,0,,,0,Binance Withdraw
2021-09-03T13:04:41+00:00,binance,,withdrawal,FTM,3569.417,0,,,0,Binance Withdraw
2021-09-03T14:06:16+00:00,binance,,deposit,USDT,8843.35,0,,,0,Binance Deposit
2021-09-03T17:06:41+00:00,binance,,withdrawal,FTM,10139.85,0,,,0,Binance Withdraw
2021-09-03T17:29:07+00:00,binance,,deposit,LUNA,86.29,0,,,0,Binance Deposit
2021-09-03T17:37:43+00:00,binance,,withdrawal,USDT,2773.828214,0,,,0,Binance Withdraw
2021-09-03T18:06:15+00:00,binance,,deposit,USDT,10164.58,0,,,0,Binance Deposit
2021-09-03T18:21:41+00:00,binance,,withdrawal,FTM,1E+1,0,,,0,Binance Withdraw
2021-09-03T18:44:41+00:00,binance,,withdrawal,FTM,11073.905,0,,,0,Binance Withdraw
2021-09-05T12:19:07+00:00,binance,,deposit,LUNA,209,0,,,0,Binance Deposit
2021-09-05T12:58:41+00:00,binance,,withdrawal,FTM,6049.944,0,,,0,Binance Withdraw
2021-09-07T17:42:08+00:00,binance,,deposit,LUNA,1035,0,,,0,Binance Deposit
2021-09-07T18:16:42+00:00,binance,,withdrawal,LUNA,1E+1,0,,,0,Binance Withdraw
2021-09-07T18:24:35+00:00,binance,,deposit,FTM,1E+1,0,,,0,Binance Deposit
2021-09-07T18:25:36+00:00,binance,,deposit,FTM,4303.539487,0,,,0,Binance Deposit
2021-09-07T18:36:42+00:00,binance,,withdrawal,LUNA,422.40176,0,,,0,Binance Withdraw
2021-09-07T19:45:40+00:00,binance,,deposit,SOL,6,0,,,0,Binance Deposit
2021-09-07T22:02:42+00:00,binance,,withdrawal,LUNA,206.07372,0,,,0,Binance Withdraw
2021-09-08T05:16:34+00:00,binance,,deposit,EUR,539.55,0,,,0,Binance Deposit
2021-09-08T05:26:44+00:00,binance,,withdrawal,ETH,3.73909343,0,,,0,Binance Withdraw
2021-09-08T05:34:41+00:00,binance,,withdrawal,LUNA,221.09868,0,,,0,Binance Withdraw
