date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2020-11-27T09:43:02+00:00,kraken,LWL444-GQZWK-VCLV3K,deposit,EUR,985,0,,,0,Kraken deposit (fiat)
2020-12-01T09:08:40+00:00,kraken,LX7IDP-EYDUU-OAP2OS,withdrawal,ETH,1.37601,0.005,ETH,,0,Kraken withdrawal (crypto)
2020-12-01T09:36:59+00:00,kraken,LA77ZB-6T2QV-MFC55H,withdrawal,BTC,0.02784,0.0005,BTC,,0,Kraken withdrawal (crypto)
2020-12-03T16:38:09+00:00,kraken,LD2K72-A7FCP-4RY6VC,deposit,EUR,1.1E+4,0,,,0,Kraken deposit (fiat)
2020-12-04T09:54:07+00:00,kraken,LWKNHL-EZAFC-G334JB,deposit,EUR,1.3E+4,0,,,0,Kraken deposit (fiat)
2020-12-04T10:41:40+00:00,kraken,LVUFQY-W6QK4-YZJLIM,withdrawal,ETH,16.14154,0.005,ETH,,0,Kraken withdrawal (crypto)
2020-12-04T12:06:26+00:00,kraken,LCGTGU-7MORL-MPMOVS,withdrawal,ETH,16.24153,0.005,ETH,,0,Kraken withdrawal (crypto)
2020-12-04T12:22:46+00:00,kraken,LMNWFU-N2E23-TWP6XA,withdrawal,ETH,16.41578,0.005,ETH,,0,Kraken withdrawal (crypto)
2020-12-07T10:06:48+00:00,kraken,LU2TXT-GNPAT-DLAHQH,deposit,EUR,7.35E+3,0,,,0,Kraken deposit (fiat)
2020-12-07T10:47:01+00:00,kraken,LZQDWN-S3NDC-VX7SS7,internal_transfer,DOT,-765.51500265,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-07T10:47:10+00:00,kraken,LZPFAT-XS5VI-TCIW6U,internal_transfer,DOT,765.51500265,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-07T10:47:36+00:00,kraken,L4IAQ5-BMJZF-OC4BG3,internal_transfer,KSM,73.98772318,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-07T10:47:38+00:00,kraken,LRKRDF-CCBUC-6IMEXZ,internal_transfer,KSM,-73.98772318,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-08T07:15:33+00:00,kraken,LY6PN2-247QS-GMVZBZ,staking_reward,DOT,0.14900567,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-08T13:13:22+00:00,kraken,LUQBBX-32JUG-2GCYWP,withdrawal,BTC,0.0095,0.0005,BTC,,0,Kraken withdrawal (crypto)
2020-12-08T22:37:15+00:00,kraken,LG4QUV-TEAT2-TM5UIG,withdrawal,BTC,0.04173,0.0005,BTC,,0,Kraken withdrawal (crypto)
2020-12-09T02:42:11+00:00,kraken,LKCQPY-FWLTU-XM6J6Q,staking_reward,KSM,0.03971377,0,,,0,Kraken staking (staking_on_chain) raw_asset=KSM.S
2020-12-09T09:38:52+00:00,kraken,LRYKQP-I6IOT-5LEK3R,deposit,EUR,2.4E+3,0,,,0,Kraken deposit (fiat)
2020-12-09T10:01:42+00:00,kraken,LAD5FN-GWJQ7-MYS5PF,withdrawal,ETH,3.49244,0.005,ETH,,0,Kraken withdrawal (crypto)
2020-12-09T10:09:50+00:00,kraken,LLARZM-KQYZW-Q7PFLK,withdrawal,BTC,0.05275,0.0005,BTC,,0,Kraken withdrawal (crypto)
2020-12-11T03:53:40+00:00,kraken,LWDGFD-BD4AX-ROZZSB,staking_reward,DOT,0.75464686,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-11T14:40:34+00:00,kraken,L27DZQ-QZEMK-NRD3A6,deposit,EUR,1.16E+3,0,,,0,Kraken deposit (fiat)
2020-12-12T02:21:09+00:00,kraken,LNZEAN-O6GL3-E673GB,staking_reward,KSM,0.07296322,0,,,0,Kraken staking (staking_on_chain) raw_asset=KSM.S
2020-12-12T15:05:02+00:00,kraken,LK3JJX-E44DX-MNDJ3B,internal_transfer,DOT,25.57423099,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-12T15:05:04+00:00,kraken,LRYVID-QMD7Z-KQI5JW,internal_transfer,DOT,-25.57423099,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-12T20:47:52+00:00,kraken,LUVZVG-H3G4F-YCWI4F,internal_transfer,DOT,-25.06734027,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-12T20:48:20+00:00,kraken,LVGOVX-NSRPZ-SNYVO6,internal_transfer,DOT,25.06734027,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-12T20:49:06+00:00,kraken,LGXVJB-YNLOC-IVF5XV,internal_transfer,KSM,2.46984626,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-12T20:49:21+00:00,kraken,L5HWJV-PSY3H-CSMPSL,internal_transfer,KSM,-2.46984626,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-13T17:39:10+00:00,kraken,LMXDRY-NCT32-DCVBRE,withdrawal,ETH,1.2868,0.005,ETH,,0,Kraken withdrawal (crypto)
2020-12-15T04:00:17+00:00,kraken,LFHLSL-GQJCI-KHUCBS,staking_reward,DOT,1.04536645,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-16T02:22:56+00:00,kraken,LL4NMG-6SP45-OX2MEI,staking_reward,KSM,0.09999013,0,,,0,Kraken staking (staking_on_chain) raw_asset=KSM.S
2020-12-18T04:08:09+00:00,kraken,LVI2CP-7ZB6I-BADADV,staking_reward,DOT,0.80630562,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-18T07:21:59+00:00,kraken,L3KPKO-TV7VL-GTVS4L,internal_transfer,KSM,-5.58442632,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-18T07:22:06+00:00,kraken,LLFEXS-C5SFE-TKTFTZ,internal_transfer,KSM,5.58442632,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-19T02:26:06+00:00,kraken,LHA6C5-MHUZ2-EH7SPY,staking_reward,KSM,0.07699265,0,,,0,Kraken staking (staking_on_chain) raw_asset=KSM.S
2020-12-22T03:58:34+00:00,kraken,LNS5LE-YEAJ3-APK6ZB,staking_reward,DOT,1.07616059,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-23T02:27:38+00:00,kraken,L5LHTV-VLZVI-4W7G5I,staking_reward,KSM,0.1081974,0,,,0,Kraken staking (staking_on_chain) raw_asset=KSM.S
2020-12-25T03:59:57+00:00,kraken,L6OBHD-JM3CK-GEBLZ3,staking_reward,DOT,0.80815424,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-26T02:30:02+00:00,kraken,LOL7K4-AN4IM-WBUJHU,staking_reward,KSM,0.08125439,0,,,0,Kraken staking (staking_on_chain) raw_asset=KSM.S
2020-12-28T12:07:58+00:00,kraken,LKHXPO-JHXL6-CAPKNN,deposit,EUR,2245,0,,,0,Kraken deposit (fiat)
2020-12-28T12:43:33+00:00,kraken,LIZJEJ-SZG6O-RBBFH3,internal_transfer,KSM,-1.60269078,0,,,0,Kraken transfer spottostaking (crypto)
2020-12-28T12:43:48+00:00,kraken,LAHGAQ-AOJAI-5CAR2W,internal_transfer,KSM,1.60269078,0,,,0,Kraken transfer stakingfromspot (staking_on_chain)
2020-12-29T04:09:07+00:00,kraken,LGJHUD-76ZZK-5ESEIE,staking_reward,DOT,1.07863316,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2020-12-29T09:48:02+00:00,kraken,L5GLVB-7F7WX-CQARKP,deposit,EUR,2.17E+4,0,,,0,Kraken deposit (fiat)
2020-12-29T10:12:47+00:00,kraken,L4YGG3-D7RP3-MPKGNG,fiat_withdrawal,USDC,2.5,2.5,USDC,,0,Kraken withdrawal (stable_coin)
2020-12-29T10:20:49+00:00,kraken,LDNGJO-GDCNX-GOYZPJ,fiat_withdrawal,USDC,20122.6311,2.5,USDC,,0,Kraken withdrawal (stable_coin)
2020-12-29T12:39:01+00:00,kraken,LNCZ76-YMYK2-P7QBSB,fiat_withdrawal,USDC,2.5,2.5,USDC,,0,Kraken withdrawal (stable_coin)
