date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2021-08-11T11:41:14+00:00,binance,,deposit,BTC,0.00043356,0,,,0,Binance Deposit
2021-08-11T11:53:06+00:00,binance,,deposit,BTC,0.15691157,0,,,0,Binance Deposit
2021-08-11T13:45:53+00:00,binance,,swap_out,BTC,0.157345,7.23934283,USDT,USDT,7239.34283064,Binance Trade
2021-08-11T13:45:53+00:00,binance,,swap_in,USDT,7239.34283064,0,,BTC,0.157345,Binance Trade
2021-08-11T14:00:49+00:00,binance,,withdrawal,USDT,2265,0,,,0,Binance Withdraw
2021-08-11T14:27:12+00:00,binance,,deposit,BTC,0.15322921,0,,,0,Binance Deposit
2021-08-11T14:28:40+00:00,binance,,swap_out,BTC,0.153229,7.093378,USDT,USDT,7093.37799914,Binance Trade
2021-08-11T14:28:40+00:00,binance,,swap_in,USDT,7093.37799914,0,,BTC,0.153229,Binance Trade
2021-08-11T14:30:24+00:00,binance,,swap_out,USDT,12053.375383,0.70399,LUNA,LUNA,703.99,Binance Trade
2021-08-11T14:30:24+00:00,binance,,swap_in,LUNA,703.99,0,,USDT,12053.375383,Binance Trade
2021-08-11T14:38:41+00:00,binance,,withdrawal,LUNA,5,0,,,0,Binance Withdraw
2021-08-12T06:56:41+00:00,binance,,withdrawal,LUNA,1E+1,0,,,0,Binance Withdraw
2021-08-12T07:00:52+00:00,binance,,withdrawal,LUNA,688.28601,0,,,0,Binance Withdraw
2021-08-22T16:17:07+00:00,binance,,deposit,AAVE,0.05100219,0,,,0,Binance Deposit
2021-08-22T16:25:08+00:00,binance,,deposit,AAVE,10.13908437,0,,,0,Binance Deposit
2021-08-22T16:26:52+00:00,binance,,swap_out,AAVE,10.19,3.99678009,BUSD,BUSD,3996.780085,Binance Trade
2021-08-22T16:26:52+00:00,binance,,swap_in,BUSD,3996.780085,0,,AAVE,10.19,Binance Trade
2021-08-22T16:34:05+00:00,binance,,swap_out,BUSD,3992.758065,0.147765,LUNA,LUNA,147.765,Binance Trade
2021-08-22T16:34:05+00:00,binance,,swap_in,LUNA,147.765,0,,BUSD,3992.758065,Binance Trade
2021-08-22T16:42:41+00:00,binance,,withdrawal,LUNA,147.617235,0,,,0,Binance Withdraw
2021-08-26T21:01:06+00:00,binance,,deposit,LUNA,0.1,0,,,0,Binance Deposit
2021-08-26T21:03:07+00:00,binance,,deposit,LUNA,147.49,0,,,0,Binance Deposit
2021-08-26T21:05:00+00:00,binance,,swap_out,LUNA,147.59,3.970171,USDT,USDT,3970.171,Binance Trade
2021-08-26T21:05:00+00:00,binance,,swap_in,USDT,3970.171,0,,LUNA,147.59,Binance Trade
2021-08-26T21:07:15+00:00,binance,,swap_out,USDT,476.024,0.00628,SOL,SOL,6.28,Binance Trade
2021-08-26T21:07:15+00:00,binance,,swap_in,SOL,6.28,0,,USDT,476.024,Binance Trade
2021-08-26T21:07:41+00:00,binance,,swap_out,USDT,768.096,0.01016,SOL,SOL,10.16,Binance Trade
2021-08-26T21:07:41+00:00,binance,,swap_in,SOL,10.16,0,,USDT,768.096,Binance Trade
2021-08-26T21:15:40+00:00,binance,,swap_out,USDT,653.25,0.00871,SOL,SOL,8.71,Binance Trade
2021-08-26T21:15:40+00:00,binance,,swap_in,SOL,8.71,0,,USDT,653.25,Binance Trade
2021-08-27T01:16:46+00:00,binance,,swap_out,USDT,413.91,0.00567,SOL,SOL,5.67,Binance Trade
2021-08-27T01:16:46+00:00,binance,,swap_in,SOL,5.67,0,,USDT,413.91,Binance Trade
2021-08-27T07:04:57+00:00,binance,,swap_out,USDT,1653.837,0.02038,SOL,SOL,20.38,Binance Trade
2021-08-27T07:04:57+00:00,binance,,swap_in,SOL,20.38,0,,USDT,1653.837,Binance Trade
2021-08-27T12:23:42+00:00,binance,,withdrawal,SOL,0.1,0,,,0,Binance Withdraw
