date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2021-05-11T14:08:04.344445+00:00,ftx,,fiat_deposit,USD,3088.88,0,,,0,FTX Circle deposit
2021-05-11T14:08:04.344445+00:00,ftx,,funding_fee,USD,89.88,0,,,0,FTX Circle deposit fee
2021-05-11T14:30:35.583218+00:00,ftx,2021-05-11 14:30:35.583218,buy,CEL,11.5,0.00805,CEL,USD,80.638,FTX spot trade
2021-05-11T14:31:40.635447+00:00,ftx,2021-05-11 14:31:40.635447,buy,CEL,416.1,0.29127,CEL,USD,2918.29275,FTX spot trade
2021-05-14T02:27:35.870651+00:00,ftx,68957,fiat_deposit,EUR,860.84,0,,,0,FTX fiat_deposit 68957
2021-05-14T07:20:35.997919+00:00,ftx,2021-05-14 07:20:35.997919,fiat_exchange,EUR,860.84,0,,USD,1036.88349307,FTX fiat conversion
2021-05-14T15:00:18.927200+00:00,ftx,2021-05-14 15:00:18.927200,buy,CEL,2E+1,0.014,CEL,USD,146.53,FTX spot trade
2021-05-14T15:36:59.475463+00:00,ftx,2021-05-14 15:36:59.475463,buy,CEL,3E+1,0.021,CEL,USD,221.9765,FTX spot trade
2021-05-14T21:32:45.056591+00:00,ftx,2021-05-14 21:32:45.056591,buy,CEL,20.6,0.01442,CEL,USD,150.3388,FTX spot trade
2021-05-15T06:48:51.816182+00:00,ftx,2021-05-15 06:48:51.816182,buy,CEL,18.5,0.0037,CEL,USD,133.2,FTX spot trade
2021-05-15T06:50:58.756612+00:00,ftx,2021-05-15 06:50:58.756612,buy,CEL,18.7,0.00374,CEL,USD,133.705,FTX spot trade
2021-05-15T07:29:10.290627+00:00,ftx,2021-05-15 07:29:10.290627,buy,CEL,16.9,0.00338,CEL,USD,119.99,FTX spot trade
2021-05-15T07:33:27.827559+00:00,ftx,2021-05-15 07:33:27.827559,buy,CEL,18.4,0.01288,CEL,USD,130.7596,FTX spot trade
2021-05-15T08:24:24.516833+00:00,ftx,4291910,deposit,USD,2E+1,0,,,0,FTX deposit 4291910
2021-05-15T08:58:25.506192+00:00,ftx,4293337,deposit,USD,1.98E+3,0,,,0,FTX deposit 4293337
2021-05-15T10:03:44.400587+00:00,ftx,2021-05-15 10:03:44.400587,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:45.123405+00:00,ftx,2021-05-15 10:03:45.123405,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:46.253336+00:00,ftx,2021-05-15 10:03:46.253336,buy,SNX,0.2,0.00004,SNX,USD,4.29,FTX spot trade
2021-05-15T10:03:47.086595+00:00,ftx,2021-05-15 10:03:47.086595,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:50.970724+00:00,ftx,2021-05-15 10:03:50.970724,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:52.036050+00:00,ftx,2021-05-15 10:03:52.036050,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:53.172777+00:00,ftx,2021-05-15 10:03:53.172777,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:55.621198+00:00,ftx,2021-05-15 10:03:55.621198,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:57.484367+00:00,ftx,2021-05-15 10:03:57.484367,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:03:59.518707+00:00,ftx,2021-05-15 10:03:59.518707,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:04:02.961925+00:00,ftx,2021-05-15 10:04:02.961925,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:04:03.383008+00:00,ftx,2021-05-15 10:04:03.383008,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
2021-05-15T10:04:03.729445+00:00,ftx,2021-05-15 10:04:03.729445,buy,SNX,0.5,0.0001,SNX,USD,10.725,FTX spot trade
2021-05-15T10:04:03.934182+00:00,ftx,2021-05-15 10:04:03.934182,buy,SNX,0.2,0.00004,SNX,USD,4.29,FTX spot trade
2021-05-15T10:04:04.131521+00:00,ftx,2021-05-15 10:04:04.131521,buy,SNX,0.1,0.00002,SNX,USD,2.145,FTX spot trade
