date,asset,amount,revenue_pln,cost_basis_pln,gain_loss_pln,price_method,source,counterparty_asset,counterparty_amount,lots_consumed,year
2020-12-31,USDC,1E+3,3640.46,4101.20,-460.74,nbp_eur,kraken,EUR,804.13,1,2020
2021-01-04,USDC,9125.1311,33160.52,37690.47,-4529.95,nbp_eur,kraken,EUR,7185.69,2,2021
2021-02-04,USDC,5001,18459.37,20737.51,-2278.13,nbp_eur,kraken,EUR,4110.67,2,2021
2021-02-16,DOT,4E+1,4463.38,762.68,3700.70,nbp_eur,kraken,EUR,995.49,1,2021
2021-02-16,USDC,3E+3,10963.34,12385.02,-1421.67,nbp_eur,kraken,EUR,2445.21,2,2021
2021-05-07,USDC,3.5E+3,13321.77,13902.00,-580.23,nbp_usd,kraken,USD,3499.65,1,2021
2021-05-09,USDC,5E+3,18928.61,19931.69,-1003.09,nbp_usd,kraken,USD,4999.5,2,2021
2021-05-22,USDC,1.5E+3,5516.70,5998.95,-482.25,nbp_usd,kraken,USD,1.5E+3,1,2021
2021-06-11,USDC,1E+3,3703.17,3999.30,-296.13,nbp_eur,kraken,EUR,826.6,1,2021
2021-07-28,USDC,1005,3898.14,3999.84,-101.70,nbp_eur,kraken,EUR,848.27,2,2021
2021-08-11,USDC,1574,6121.71,6061.32,60.39,nbp_eur,kraken,EUR,1340.1,1,2021
2021-08-20,LINK,199.23997,21494.63,9394.20,12100.43,nbp_usd,kraken,USD,5479.689,5,2021
2021-08-20,USDC,3E+3,11766.74,11552.70,214.04,nbp_usd,kraken,USD,2999.73,1,2021
2021-08-22,KAR,619.66929,19698.22,21199.27,-1501.05,nbp_usd,kraken,USD,5012.1418,1,2021
2021-10-08,USDC,6415.7332,25238.42,24688.59,549.82,nbp_eur,kraken,EUR,5550.32,3,2021
2021-10-31,LUNA,15.18,2616.36,0.00,2616.36,nbp_eur,binance,EUR,566.214,1,2021
2021-10-31,LUNA,20.49,3541.04,0.00,3541.04,nbp_eur,binance,EUR,766.326,2,2021
2021-10-31,LUNA,17.42,3018.54,0.00,3018.54,nbp_eur,binance,EUR,653.25,1,2021
2021-11-01,LUNA,98.72,17106.20,0.00,17106.20,nbp_eur,binance,EUR,3702,1,2021
2021-11-25,BUSD,2571.3498,10737.51,10746.10,-8.59,nbp_eur,binance,EUR,2293.8,4,2021
